2016-12-23 12:51:23,097 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:51:23,216 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-46
2016-12-23 12:52:23,097 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:52:23,220 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-48
2016-12-23 12:53:23,097 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:53:23,236 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-50
2016-12-23 12:54:23,098 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:23,229 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-52
2016-12-23 12:54:49,121 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,123 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,124 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,124 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,124 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,124 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,125 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,126 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,126 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,126 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,127 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:49,127 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:54:53,799 | INFO  | handle message missed, do insert by default! | com.geovis.duplex.handle.AbstractDataHandle | Thread-8
2016-12-23 12:54:53,800 | INFO  | handle message missed, do insert by default! | com.geovis.duplex.handle.AbstractDataHandle | Thread-8
2016-12-23 13:13:40,946 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
