2017-06-12 21:07:08,400 | DEBUG | Rejected bean name 'lifecycleProcessor': no URL paths identified | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,400 | DEBUG | Finished creating instance of bean 'handlerMapping' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,402 | DEBUG | Creating instance of bean 'org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,402 | DEBUG | Finished creating instance of bean 'org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,402 | DEBUG | Creating instance of bean 'org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,403 | DEBUG | Finished creating instance of bean 'org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,404 | DEBUG | Creating instance of bean 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,452 | DEBUG | loaded class com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl from null | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,456 | DEBUG | Finished creating instance of bean 'org.springframework.web.servlet.mvc.annotation.AnnotationMethodHandlerAdapter' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,456 | DEBUG | No HandlerAdapters found in servlet 'dispatcher': using default | org.springframework.web.servlet.DispatcherServlet | GFGXDB.TEST1
